Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Domnic Joseph Muthuswami,425,0,532,22,3-33,24.18,0,0,19.31,7.51
Douglas Andrew John Bracewell,797,0,1168,52,3-21,22.46,0,0,15.32,8.79
Douglas Erwin Bollinger,2596,6,3346,134,4-13,24.97,1,0,19.37,7.73
Dwayne John Bravo,6239,2,8407,344,5-23,24.43,8,1,18.13,8.08
Dwayne Romel Smith,1992,3,2609,99,4-8,26.35,2,0,20.12,7.85
Faiz Yakub Fazal,144,0,177,10,2-17,17.7,0,0,14.4,7.37
Farhaan Behardien,114,0,176,5,2-15,35.2,0,0,22.8,9.26
Fidel Henderson Edwards,1778,4,2246,84,5-22,26.73,1,1,21.16,7.57
Francois du Plessis,790,0,917,50,5-19,18.34,1,2,15.8,6.96
Gade Hanuma Vihari,240,0,274,16,3-21,17.12,0,0,15,6.85
Gagandeep Singh Toor,306,1,370,12,2-21,30.83,0,0,25.5,7.25
George Bradley Hogg,2645,3,3003,125,4-9,24.02,5,0,21.16,6.81
George John Bailey,12,0,24,0,0-24,NA,NA,NA,NA,12
Glenn Donald McGrath,432,2,492,20,4-29,24.6,1,0,21.6,6.83
Glenn James Maxwell,1425,1,1880,53,3-13,35.47,0,0,26.88,7.91
Graeme Craig Smith,96,0,148,4,3-23,37,0,0,24,9.25
Graham Richard Napier,2905,7,3831,164,4-10,23.35,2,0,17.71,7.91
Gurinder Singh Sandhu,540,1,701,23,3-19,30.47,0,0,23.47,7.78
Gurkeerat Singh Mann,120,0,148,6,2-15,24.66,0,0,20,7.4
Harbhajan Singh,4302,12,4811,190,5-18,25.32,3,1,22.64,6.7
Hardik Himanshu Pandya,1009,4,1285,45,3-7,28.55,0,0,22.42,7.64
Harmeet Singh Baddhan,24,0,34,1,1-34,34,0,0,24,8.5
Harmeet Singh Bansal,594,0,773,27,3-24,28.62,0,0,22,7.8
Harpreet Singh Bhatia,126,1,113,6,2-15,18.83,0,0,21,5.38
Harshal Vikrambhai Patel,1211,2,1545,55,3-35,28.09,0,0,22.01,7.65
Hashim Mahomed Amla,2,0,5,0,0-1,NA,NA,NA,NA,15
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,1116,0,1380,57,4-25,24.21,1,0,19.57,7.41
Irfan Khan Pathan,3283,13,4123,161,5-13,25.6,2,1,20.39,7.53
Ishan Malhotra,96,0,134,4,2-14,33.5,0,0,24,8.37
Ishank Rajiv Jaggi,73,0,83,2,1-13,41.5,0,0,36.5,6.82
Ishant Sharma,2239,3,2932,84,5-12,34.9,1,1,26.65,7.85
Ishwar Chand Pandey,900,5,1084,43,4-20,25.2,1,0,20.93,7.22
Ishwar Haribhai Chaudhary,136,1,187,9,3-31,20.77,0,0,15.11,8.25
Jacob David Philip Oram,1839,5,2406,81,5-14,29.7,0,1,22.7,7.84
Jacques Henry Kallis,2747,7,3482,114,4-15,30.54,2,0,24.09,7.6
Jagadeesha Suchith,432,1,564,18,3-2,31.33,0,0,24,7.83
Jagrit Anand,19,0,34,0,0-9,NA,NA,NA,NA,10.73
Jalaj Sahay Saxena,611,1,714,32,5-16,22.31,1,1,19.09,7.01
Jamaluddin Syed Mohammad,750,0,949,35,3-15,27.11,0,0,21.42,7.59
James Douglas Sheehan Neesham,991,1,1425,57,4-35,25,1,0,17.38,8.62
James Edward Charles Franklin,2123,0,2931,96,5-21,30.53,1,1,22.11,8.28
James Peter Faulkner,2792,8,3662,158,5-16,23.17,1,3,17.67,7.86
James Redfern Hopes,1702,1,2255,67,3-23,33.65,0,0,25.4,7.94
Jaskaran Singh Butta,275,0,371,12,2-17,30.91,0,0,22.91,8.09
Jason Omar Holder,1373,3,1737,54,4-27,32.16,1,0,25.42,7.59
Jasprit Jasbirsingh Bumrah,1832,7,2209,95,3-10,23.25,0,0,19.28,7.23
Jayant Yadav,502,0,500,15,3-10,33.33,0,0,33.46,5.97
Jaydev Dipakbhai Unadkat,1386,0,1735,78,5-25,22.24,0,1,17.76,7.51
Jean-Paul Duminy,1514,0,1904,67,4-17,28.41,3,0,22.59,7.54
Jerome Everton Taylor,1546,4,2002,87,5-10,23.01,1,1,17.77,7.76
Jesse Daniel Ryder,915,2,1200,33,5-27,36.36,0,1,27.72,7.86
Joginder Sharma,1123,4,1345,55,4-14,24.45,1,0,20.41,7.18
Johan Botha,3672,4,3931,146,4-16,26.92,2,0,25.15,6.42
Johannes Albertus Morkel,4697,8,5999,230,4-25,26.08,3,0,20.42,7.66
Johannes Jacobus van der Wath,2185,3,2763,108,4-24,25.58,1,0,20.23,7.58
John Wayne Hastings,1718,2,2169,96,4-26,22.59,2,0,17.89,7.57
Juan Theron,2586,2,3110,135,4-27,23.03,3,0,19.15,7.21
Justin Miles Kemp,1016,0,1272,56,3-12,22.71,0,0,18.14,7.51
Kamran Khan,208,0,300,12,3-18,25,0,0,17.33,8.65
Kane Stuart Williamson,716,1,844,27,3-33,31.25,0,0,26.51,7.07
Kane William Richardson,1184,3,1581,61,3-9,25.91,0,0,19.4,8.01
Karan Goel,193,0,226,10,4-13,22.6,1,0,19.3,7.02
Karanveer Singh,302,0,451,18,4-15,25.05,2,0,16.77,8.96
Karn Vinod Sharma,1483,1,1843,69,5-24,26.71,1,1,21.49,7.45
Karun Kaladharan Nair,48,0,55,2,1-3,27.5,0,0,24,6.87
Kathuria Anureet Singh,878,3,1191,42,3-12,28.35,0,0,20.9,8.13
Kedar Mahadeo Jadhav,60,0,88,4,2-23,22,0,0,15,8.8
Kemar Andre Jamal Roach,864,1,1138,27,3-18,42.14,0,0,32,7.9
Kevin Peter Pietersen,396,0,534,17,3-33,31.41,0,0,23.29,8.09
Kevon Keston Cooper,2821,5,3370,165,5-15,20.42,4,1,17.09,7.16
Khan Abdur Razzak,1594,7,1843,92,4-16,20.03,3,0,17.32,6.93
Kieron Adrian Pollard,3854,1,5151,219,4-15,23.52,4,0,17.59,8.01
Konda Bhaskar Arun Karthik,24,0,44,2,1-13,22,0,0,12,11
Konganda Charamanna Cariappa,204,0,287,11,2-14,26.09,0,0,18.54,8.44
Kotragada Prabhu Appanna,414,0,530,21,4-19,25.23,1,0,19.71,7.68
Krishankumar Dinesh Karthik,12,0,10,1,1-10,10,0,0,12,5
Krishmar Santokie,1988,6,2275,144,5-24,15.79,6,1,13.8,6.86
Krishnakant Rameshwar Upadhyay,421,1,545,20,3-25,27.25,0,0,21.05,7.76
Krunal Himashu Pandya,449,0,495,22,3-25,22.5,0,0,20.4,6.61
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,2081,10,2495,111,4-12,22.47,3,0,18.74,7.19
Kuldeep Yadav,520,1,624,37,5-17,16.86,0,1,14.05,7.2
Kyle John Abbott,1905,6,2520,87,5-14,28.96,0,1,21.89,7.93
Lakshmipathy Balaji,2161,5,2797,126,5-24,22.19,5,1,17.15,7.76
Laxmi Ratan Shukla,976,3,1157,47,3-6,24.61,0,0,20.76,7.11
Lee Andrew Carseldine,84,0,113,7,2-13,16.14,0,0,12,8.07
Lendl Mark Platter Simmons,370,1,532,22,4-19,24.18,1,0,16.81,8.62
Lindamlilage Prageeth Chamara Silva,24,0,36,1,1-4,36,0,0,24,9
Lovesh Ablash,456,3,499,36,5-6,13.86,0,2,12.66,6.56
Luke James Wright,1799,1,2563,79,3-17,32.44,0,0,22.77,8.54
