Harmeet Singh Baddhan,0,0
Harmeet Singh Bansal,4.4,110
Harpreet Singh Bhatia,29.85,113.04
Harshal Vikrambhai Patel,7.69,129.19
Hashim Mahomed Amla,31.71,126.33
Herschelle Herman Gibbs,25.29,123.22
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,16.85,138.11
Irfan Khan Pathan,23.02,123.35
Ishan Malhotra,14.85,97.19
Ishan Pranavkumarpandey Kishan,14.57,93.26
Ishank Rajiv Jaggi,29.73,112.83
Ishant Sharma,9,81.81
Ishwar Chand Pandey,8,136.58
Ishwar Haribhai Chaudhary,0.5,33.33
Jacob David Philip Oram,16.58,126.1
Jacques Henry Kallis,30.88,112.45
Jagadeesh Arunkumar,11.28,101.28
Jagadeesha Suchith,13.14,115
Jagrit Anand,18.27,95.26
Jalaj Sahay Saxena,15.77,86.54
Jamaluddin Syed Mohammad,22.52,110.37
James Douglas Sheehan Neesham,26.72,137.74
James Edward Charles Franklin,28.38,124.93
James Peter Faulkner,22.08,127.55
James Redfern Hopes,22.58,124.09
Jaskaran Singh Butta,9,110.2
Jason Omar Holder,13.09,125.94
Jasprit Jasbirsingh Bumrah,8.5,82.92
Jayant Yadav,19.6,115.97
Jaydev Dipakbhai Unadkat,15.75,141.57
Jean-Paul Duminy,38.05,122.28
Jerome Everton Taylor,10.23,108.75
Jesse Daniel Ryder,26.36,147.65
Joginder Sharma,15.18,127.72
Johan Botha,19.62,112.13
Johannes Albertus Morkel,25.8,137.93
Johannes Jacobus van der Wath,16.57,127.51
John Wayne Hastings,15.65,152.13
Joseph Charles Buttler,28.38,147.19
Juan Theron,9.5,107.54
Justin Lee Langer,28.19,136.42
Justin Miles Kemp,28.45,124.44
Kamran Akmal,25.18,128.29
Kamran Khan,22,122.22
Kane Stuart Williamson,27.01,118.84
Kane William Richardson,10.8,109.45
Kannur Lokesh Rahul,32.34,127.35
Karan Goel,19.97,91.88
Karanveer Singh,18,66.66
Karn Vinod Sharma,21.18,123.1
Karun Kaladharan Nair,23.58,122.3
Kathuria Anureet Singh,8.75,81.39
Kedar Hemant Devdhar,21.62,115.77
Kedar Mahadeo Jadhav,24.53,138.45
Kemar Andre Jamal Roach,7.37,113.46
Kevin Peter Pietersen,34.74,136.13
Kevon Keston Cooper,11.53,135.49
Khan Abdur Razzak,8.68,89.67
Kieron Adrian Pollard,30.84,151.85
Konda Bhaskar Arun Karthik,18.27,122.56
Konganda Charamanna Cariappa,13,118.18
Kotragada Prabhu Appanna,13,130
Krishankumar Dinesh Karthik,24.06,127.62
Krishmar Santokie,8.58,92.99
Krishnakant Rameshwar Upadhyay,4.75,79.16
Krunal Himashu Pandya,31.07,164.89
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,10.27,122.51
Kuldeep Yadav,22,122.22
Kumar Chokshanada Sangakkara,29.23,126.9
Kyle John Abbott,13,110.16
Lakshmipathy Balaji,4.9,87.09
Laxmi Ratan Shukla,20.7,120.63
Lee Andrew Carseldine,31.36,125.21
Lendl Mark Platter Simmons,30.63,115.61
Lindamlilage Prageeth Chamara Silva,24.46,119.98
Lokesh Sharma,16,160
Lovesh Ablash,1,50
Luke Anthony Pomersbach,26.14,129.91
Luke James Wright,28.54,145.98
Luke Ronchi,18.64,139.8
Luteru Ross Poutoa Lote Taylor,30.6,133.4
Magina Thilan Thushara Mirando,11.09,112.01
Mahendra Singh Dhoni,37.53,135.82
Mahesh Rawat,24.3,116.39
Makhaya Ntini,5,69.76
Manan Vohra,26.45,126.78
Mandeep Singh,25.65,122.62
Manish Krishnanand Pandey,25.87,117.52
Manoj Kumar Tiwary,29.61,113.32
Manpreet Singh Gony,14.13,144.65
Manprit Charanjit Juneja,31.1,126.04
Manvinder Bisla,21.7,110.7
Marchant de Lange,10.5,118.86
Marcus Peter Stoinis,20.2,115.09
Mark Verdon Boucher,28.12,115.5
Marlon Nathaniel Samuels,31.87,118
Martin James Guptill,34.21,127.92
Mashrafe Bin Mortaza,13.28,130.7
Mathurage Don Kusal Janith Perera,20.76,126.22
Matthew Lawrence Hayden,36.26,136.91
Matthew Scott Wade,21.54,121.46
Mayank Anurag Agarwal,22.72,127.16
Michael Edward Killeen Hussey,37.45,124.9
Michael Gertges Neser,19.8,111.86
Michael John Buchanan,15,127.65
Michael John Clarke,21.05,108.22
Michael John Lumb,24.5,138.37
Michael Klinger,38.91,127.03
Misbah-ul-Haq Khan Niazi,34.07,118.69
Mitchell Aaron Starc,8.26,87.32
Mitchell Guy Johnson,11.2,103.7
Mitchell John McClenaghan,9.14,136.17
Mitchell Ross Marsh,29.21,120.26
Mithun Manhas,22.04,104.75
Mohamed Farveez Maharoof,17.93,119.41
Mohammad Ashraful,23.21,117.54
Mohammad Asif,4.33,86.66
Mohammad Hafeez,24.12,124.55
Mohammad Imran Tahir,9.07,122.91
Mohammad Kaif,22.07,105.97
Mohammad Mustafizur Rahman,2.25,69.23
Mohammad Younis Khan,30.55,117.3
Mohammed Shami,3.66,62.85
Mohit Sharma,8,106.66
Mohnish Bipinbhai Parmar,4,100
Mohnish Dinesh Mishra,20.43,133.18
Moises Constantino Henriques,24.39,123.74
Morne Morkel,9.73,117.83
Morne Nico van Wyk,30.74,122.26
Munaf Musa Patel,7.66,90.19
Murali Kartik,12.8,110.34
Murali Vijay,25.76,121.82
Murugan Ashwin,1.5,50
Musavir Asmat Khote,29.4,137.38
Muttiah Muralitharan,3.37,73.63
Naman Vijaykumar Ojha,20.5,119.09
Narangoda Liyanaarachchilage Tissara Chirantha Perera,18.61,141.46
Nathan John Rimmington,10.62,105.59
Nathan Leslie McCullum,16.51,125.91
Nathan Mitchell Coulter-Nile,14.82,126.29
Nayan Dilip Doshi,2,29.41
Nicolas James Maddinson,23.19,129.28
Nikhil Shankar Naik,25,123.45
Niraj Kanubhai Patel,34.17,119.17
