Muttiah Muralitharan,3705,179,6.38
Narangoda Liyanaarachchilage Tissara Chirantha Perera,2878,155,8.37
Nathan John Rimmington,1548,82,7.85
Nathan Leslie McCullum,3162,157,7.18
Nathan Mitchell Coulter-Nile,1634,88,7.74
Nayan Dilip Doshi,1008,68,6.8
Niraj Kanubhai Patel,222,11,8.67
Nitish Rana,36,1,10.16
Owais Alam Shah,57,5,8.21
Padmanabhan Prasanth,955,63,5.98
Paidikalva David Vijaykumar,342,10,8.17
Palani Amarnath,318,19,9.2
Pankaj Singh,845,33,7.61
Pardeep Sahu,129,4,7.67
Parvez Rasool Zarghav,810,27,6.88
Parvinder Awana,1359,77,7.6
Patangay Manikrao Sarvesh Kumar,30,1,8.4
Patrick James Cummins,1093,57,7.62
Paul Chandrasekhar Valthaty,247,11,8.3
Paul David Collingwood,1372,81,7.09
Pawan Negi,1049,48,7.48
Pawan Suyal,353,12,7.93
Piyush Pramod Chawla,3684,182,7.38
Pradeep Sangwan,1300,61,7.56
Pragyan Prayish Ojha,2771,148,7.13
Prasanth Parameswaran,707,33,7.74
Praveenkumar Sakat Singh,3423,130,7.42
Pravin Vijay Tambe,1140,59,7.03
Rahil Akhilahmed Shaikh,6,0,11
Rahul Artiprasad Shukla,529,24,8.22
Rahul Sharma,1590,80,7.11
Rahul Tewatia,72,3,7.5
Raiphi Vincent Gomez,552,17,7.88
Rajagopal Sathish,487,20,7.23
Rajat Bhatia,2364,103,7.17
Rajesh Kinyaram Bishnoi,6,0,10
Rajesh Vithal Pawar,132,6,8.13
Raju Ravi Bhatkal,297,17,7.65
Ramesh Rajaram Powar,450,14,7.49
Ramnaresh Ronnie Sarwan,18,2,7.33
Ramsawamy Shreyas Gopal,217,12,7.85
Ranadeb Ranjit Bose,234,11,8.56
Ranganath Vinay Kumar,3028,155,7.91
Ravichandran Ashwin,4150,200,6.74
Ravinder Singh Bopara,3262,165,7.35
Ravindranath Rampaul,2446,145,7.34
Ravindrasinh Anirudhsinh Jadeja,2777,119,7.67
Raymond William Price,1464,58,6.39
Reetinder Singh Sodhi,96,5,7.87
Ricky Thomas Ponting,12,1,11.5
Rishi Dhawan,1270,50,7.4
Robert John Quiney,6,0,13
Robin John Peterson,2630,122,7.09
Robin Venu Uthappa,6,0,11
Roelof Erasmus van der Merwe,2934,142,7.06
Rohan Ravindra Raje,511,30,7.83
Rohan Sunil Gavaskar,87,3,7.72
Rohit Gurunath Sharma,628,29,7.8
Ronit Gajanan More,209,6,7.66
Rudra Pratap Singh,2903,146,7.51
Rujul Haren Bhatt,329,13,7.13
Ryan James Harris,1419,81,7.39
Ryan McLaren,3027,140,7.92
Ryan Neil ten Doeschate,2011,104,8.06
Ryan Ninan,36,3,10.83
Sachin Baby,94,3,8.48
Sachin Ramesh Tendulkar,93,2,7.93
Sachin Rana,357,20,6.77
Sahibzada Mohammad Shahid Khan Afridi,4842,240,6.64
Salman Butt,108,5,7.83
Samuel Badree,3135,146,5.61
Sanath Teran Jayasuriya,1593,77,7.46
Sandeep Sharma,1268,70,7.37
Sanjay Bapusaheb Bangar,578,31,7.35
Sanju Viswanath Samson,3,1,8
Sarabjit Singh Ladda,234,10,8.41
Saurabh Sushant Bandekar,568,38,7.85
Sayed Iqbal Abdulla,1599,76,6.87
Scott Bernard Styris,2963,125,7.36
Scott Michael Boland,396,21,8.03
Sean Anthony Abbott,703,36,8.83
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1912,97,6.38
Separamadu Lasith Malinga Swarnajith,4835,299,6.69
Shadab Bashir Jakati,1572,70,7.52
Shahbaz Nadeem,1812,70,6.59
Shakib Al Hasan,4419,242,6.75
Shalabh Jagdishprasad Srivastava,452,20,8.66
Shane Edward Bond,939,51,7.08
Shane Keith Warne,1548,70,7.22
Shane Michael Harwood,845,48,7.66
Shane Robert Watson,3490,172,7.68
Shanthakumaran Sreesanth,1192,50,8.25
Shardul Narendra Thakur,262,16,7.78
Shaun Edward Marsh,12,0,6.5
Shaun Maclean Pollock,937,45,6.37
Shaun William Tait,3600,214,7.89
Shikhar Dhawan,48,4,8.25
Shivam Sharma,163,9,7.91
Shivil Kaushik,138,6,8.34
Shoaib Akhtar,804,44,7.29
Shoaib Malik,2486,114,7.03
Shoaib Shabbir Shaikh,84,4,10.07
Shrikant Bhaskar Wagh,629,39,7.55
Shrikant Shrihari Mundhe,463,26,8.11
Siddharth Dilip Chitnis,72,4,9.5
Siddharth Kaul,864,47,6.54
Siddharth Kishorkumar Trivedi,2103,103,7.68
Simon Mathew Katich,18,0,9.66
Sohail Tanvir,4892,238,7.23
Sourav Chandidas Ganguly,573,29,7.91
Sourav Subrata Sarkar,79,2,9.64
Sreenath Aravind,1211,72,7.8
Sridharan Sriram,168,4,8.1
Steven Peter Devereux Smith,785,51,7.58
Stuart Terence Roger Binny,1033,47,7.54
Subramaniam Badrinath,18,1,7.33
Sudeep Tyagi,364,16,7.91
Sumit Narwal,643,27,7.68
Sunil Bandacharya Joshi,283,13,7.16
Sunil Philip Narine,4478,241,5.68
Sunny Suresh Gupta,254,8,6.77
Suresh Kumar Raina,1305,50,7.14
Suryakumar Ashok Yadav,132,6,6.36
Swapnil Kamlesh Singh,432,28,7.06
Syed Mohammad Shoaib Ahmed,102,5,8.94
Tabraiz Shamsi,1195,57,7.21
Taduri Prakashchandra Sudhindra,637,35,6.75
Tanmay Manoj Srivastava,24,0,6.5
Tanmay Mishra,42,3,8.28
Taruwar Kohli,191,9,6.81
Tatenda Taibu,24,0,10.25
Tillakaratne Mudiyanselage Dilshan,1564,64,7.25
Timil Kaushik Patel,134,10,6.31
Timothy Grant Southee,2591,135,8.17
Tirumalasetti Laxminarayana Suman,426,17,7.92
Travis Michael Head,109,6,8.8
Trent Alexander Boult,1083,52,7.94
Tyron Henderson,1824,93,7.22
Udit Alok Birla,6,0,24
Umar Gul,2932,188,7.37
Umeshkumar Tilak Yadav,1989,92,8.17
Varun Raymond Aaron,970,40,8.2
Veer Pratap Singh,300,14,8.34
Vidyut Sivaramakrishnan,210,14,6.91
Vijay Shankar,201,8,8.92
Vijaykumar Yo Mahesh,929,52,7.72
Vikram Rajvir Singh,667,31,7.97
Vikramjeet Malik,827,44,7.34
Vikrant Shyam Yeligati,78,2,8.38
Virat Kohli,454,8,8.73
Virender Sehwag,358,22,8.31
Visvajitsinh Dilipsinh Solanki,153,6,6.43
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,1131,64,6.77
Wayne Dillon Parnell,2912,146,7.51
Wilkin Arvind Mota,249,11,7.18
Yalaka Gnaneswara Rao,114,1,8.52
Yalaka Venugopal Rao,306,8,8.78
Yashpal Singh,218,9,6.85
Yogesh Nagar,285,21,7.36
Yusuf Adam Abdulla,1187,63,6.3
Yusuf Khan Pathan,2121,94,7.66
Yuvraj Singh,1501,79,7.25
Yuzvendra Singh Chahal,1657,85,7.31
Zaheer Khan,2803,129,7.46
