Batsman_name,avgScore,avgStrikeRate,CLUSTER
Mohammad Younis Khan,30.55,117.3,0
Mohammed Shami,3.66,62.85,5
Mohit Sharma,8,106.66,8
Mohnish Bipinbhai Parmar,4,100,2
Mohnish Dinesh Mishra,20.43,133.18,4
Moises Constantino Henriques,24.39,123.74,0
Morne Morkel,9.73,117.83,4
Morne Nico van Wyk,30.74,122.26,7
Munaf Musa Patel,7.66,90.19,2
Murali Kartik,12.8,110.34,8
Murali Vijay,25.76,121.82,0
Murugan Ashwin,1.5,50,5
Musavir Asmat Khote,29.4,137.38,3
Muttiah Muralitharan,3.37,73.63,5
Naman Vijaykumar Ojha,20.5,119.09,0
Narangoda Liyanaarachchilage Tissara Chirantha Perera,18.61,141.46,3
Nathan John Rimmington,10.62,105.59,8
Nathan Leslie McCullum,16.51,125.91,4
Nathan Mitchell Coulter-Nile,14.82,126.29,4
Nayan Dilip Doshi,2,29.41,1
Nicolas James Maddinson,23.19,129.28,7
Nikhil Shankar Naik,25,123.45,0
Niraj Kanubhai Patel,34.17,119.17,0
Nitin Saini,19.27,104.69,8
Nitish Rana,34,149.86,3
Owais Alam Shah,32.79,125.06,7
Padmaja Vasudevan Manikantan,25,127.55,7
Padmanabhan Prasanth,19,133.8,4
Paidikalva David Vijaykumar,6,120,4
Palani Amarnath,1,33.33,1
Pankaj Dharmani,9.4,111.9,8
Pankaj Singh,5.45,69.76,5
Paras Dogra,25.26,110.6,0
Pardeep Sahu,19.14,113.55,8
Parthiv Ajaybhai Patel,22.34,120,0
Parvez Rasool Zarghav,18.38,97.15,8
Parvinder Awana,4.4,51.16,5
Patangay Manikrao Sarvesh Kumar,1,50,5
Patrick James Cummins,6.58,90.8,2
Paul Chandrasekhar Valthaty,23.57,126.5,7
Paul David Collingwood,19.53,119.8,0
Pawan Negi,19.85,129.46,4
Pawan Suyal,0,0,1
Peter Stephen Patrick Handscomb,27.05,112.19,0
Pinal Rohitbhai Shah,15.36,110.55,8
Piyush Pramod Chawla,15.26,124.16,4
Pradeep Sangwan,7.23,91.26,2
Pragyan Prayish Ojha,4.23,68.57,5
Prasanth Parameswaran,7.5,75,5
Praveenkumar Sakat Singh,12.03,118.36,4
Pravin Vijay Tambe,9,53.73,5
Produturi Akshath Reddy,22.8,118.44,0
Quinton de Kock,33.95,135.49,3
Rahil Akhilahmed Shaikh,0,0,1
Rahul Artiprasad Shukla,9.83,109.25,8
Rahul Mahesh Yadav,4.75,63.33,5
Rahul Sharad Dravid,27.51,113.87,0
Rahul Sharma,5.03,98.49,2
Rahul Tewatia,16,123.07,4
Raiphi Vincent Gomez,23.61,130.48,7
Rajagopal Sathish,19.05,129.51,4
Rajat Bhatia,22.21,118.51,0
Rajesh Kinyaram Bishnoi,20.71,149.48,9
Rajesh Vithal Pawar,2.33,50,5
Raju Ravi Bhatkal,9.55,102.38,8
Ramesh Rajaram Powar,18,102.85,8
Ramnaresh Ronnie Sarwan,19.3,103.81,8
Ramsawamy Shreyas Gopal,17.16,117.04,0
Ranadeb Ranjit Bose,3.5,140,4
Ranganath Vinay Kumar,12.74,122.04,4
Ravichandran Ashwin,13.94,109.21,8
Ravinder Singh Bopara,27.48,119.59,0
Ravindranath Rampaul,9.68,101.3,8
Ravindrasinh Anirudhsinh Jadeja,20.96,121.66,0
Raymond William Price,7.25,79.09,2
Reetinder Singh Sodhi,5,81.81,2
Richard Ernst Levi,28.16,142.95,3
Ricky Thomas Ponting,22.72,110.98,8
Rilee Roscoe Rossouw,26.78,129.91,7
Rishabh Rajendra Panth,24.75,130.26,7
Rishi Dhawan,27.43,110.17,0
Robert John Quiney,16.93,115.25,8
Robin John Peterson,16.41,111.6,8
Robin Venu Uthappa,29.41,132.74,7
Roelof Erasmus van der Merwe,20.3,128.23,4
Rohan Ravindra Raje,3.85,96.42,2
Rohan Sunil Gavaskar,16.14,99.12,8
Rohit Gurunath Sharma,33.38,131.68,7
Ronit Gajanan More,5,62.5,5
Rudra Pratap Singh,4.32,72.97,5
Rujul Haren Bhatt,18.57,106.84,8
Ryan James Harris,10.86,103.91,8
Ryan McLaren,19.79,110.94,8
Ryan Neil ten Doeschate,29.34,135.87,3
Ryan Ninan,3,50,5
Sachin Baby,19.61,130.78,4
Sachin Ramesh Tendulkar,32.9,121.13,7
Sachin Rana,22.55,111.41,8
Sahibzada Mohammad Shahid Khan Afridi,19.02,155.7,9
Salman Butt,33.07,111.27,0
Samuel Badree,12.72,86.95,2
Samuel William Billings,19.92,122.08,0
Sanath Teran Jayasuriya,22.71,140.08,3
Sandeep Sharma,20,66.66,5
Sanjay Bapusaheb Bangar,15.24,124.5,4
Sanju Viswanath Samson,25.48,118.32,0
Sarabjit Singh Ladda,2.5,41.66,5
Sarfaraz Naushad Khan,24.8,168.7,9
Sarul Kanwar,23.52,128.2,7
Saurabh Sunil Tiwary,30.3,121.87,7
Saurabh Sushant Bandekar,13.39,103.7,8
Sayed Iqbal Abdulla,13.75,98.8,8
Scott Bernard Styris,25.76,134.58,3
Scott Michael Boland,17,113.33,8
Sean Anthony Abbott,9.54,98.7,2
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,10.36,93.5,2
Separamadu Lasith Malinga Swarnajith,6.83,97.95,2
